h|0|2|4
h|0|11|13
h|0|27|29
h|0|28|30
h|1|2|3
h|1|99|101
h|1|100|102
h|1|54|55
h|1|95|97
h|1|96|98
h|1|6|7
h|1|17|18
h|1|21|22
h|1|25|26
h|1|29|30
h|1|33|34
h|1|37|38
h|1|91|92
h|1|41|42
h|1|45|46
h|1|49|50
h|1|83|84
h|1|87|88
h|3|0|1
h|3|5|6
h|3|7|8
h|3|12|15
h|3|13|14
h|3|16|19
h|3|17|20
h|3|18|21
h|3|22|23
h|3|26|27
h|3|28|29
h|3|34|35
h|3|65|66
h|3|78|79
h|3|80|81
h|3|82|83
h|3|86|87
h|4|1|3
h|4|5|7
h|4|9|12
h|4|10|11
h|4|13|16
h|4|14|15
h|4|17|20
h|4|18|19
h|4|34|36
h|4|38|40
h|4|42|45
h|4|43|44
h|4|46|49
h|4|47|48
h|4|50|53
h|4|51|52
v|0|3|5
v|0|12|14
v|1|4|5
v|1|99|100
v|1|101|102
v|1|56|57
v|1|95|96
v|1|97|98
v|1|8|9
v|1|14|73
v|1|15|74
v|1|16|75
v|1|19|20
v|1|23|24
v|1|27|28
v|1|31|32
v|1|35|36
v|1|39|40
v|1|93|94
v|1|43|44
v|1|47|48
v|1|51|52
v|1|85|86
v|3|5|7
v|3|6|8
v|3|9|10
v|3|12|13
v|3|14|15
v|3|24|25
v|3|67|68
v|4|2|4
v|4|6|8
v|4|9|10
v|4|11|12
v|4|13|14
v|4|15|16
v|4|17|18
v|4|19|20
v|4|35|37
v|4|39|41
v|4|42|43
v|4|44|45
v|4|46|47
v|4|48|49
v|4|50|51
v|4|52|53
